id,id_mal,title,year,season,episodes,average_score,mean_score,popularity,favourites,genres,source,studio
105119,38440,Shikizakura,2021,FALL,12,54,54,6093,40,Sci-Fi,ORIGINAL,Sublimation
105931,38749,Blade Runner: Black Lotus,2021,FALL,13,58,59,9620,92,Action|Sci-Fi,OTHER,Sola Digital Arts
106503,38853,EX-ARM,2021,WINTER,12,21,21,25181,195,Action|Sci-Fi,MANGA,Visual Flight
107717,39247,Miss Kobayashi's Dragon Maid S,2021,SUMMER,12,81,81,161847,4394,Comedy|Fantasy|Slice of Life,MANGA,Kyoto Animation
108465,39535,Mushoku Tensei: Jobless Reincarnation,2021,WINTER,11,82,82,428343,24769,Adventure|Drama|Ecchi|Fantasy,LIGHT_NOVEL,Studio Bind
108511,39551,That Time I Got Reincarnated as a Slime Season 2,2021,WINTER,12,83,83,305719,10630,Action|Adventure|Comedy|Fantasy,LIGHT_NOVEL,8-bit
108631,39586,Cells at Work!!,2021,WINTER,8,72,72,89741,811,Action|Comedy|Sci-Fi,MANGA,david production
108725,39617,The Promised Neverland Season 2,2021,WINTER,11,52,52,314219,4529,Action|Adventure|Drama|Fantasy|Horror|Psychological|Thriller,MANGA,CloverWorks
108987,38192,SAKUGAN,2021,FALL,12,63,63,33997,356,Adventure|Mecha|Sci-Fi,OTHER,Satelight
109010,39725,I★CHU,2021,WINTER,12,62,63,6179,82,Music,VIDEO_GAME,Lay-duce
109261,39783,The Quintessential Quintuplets 2,2021,WINTER,12,80,80,220893,8312,Comedy|Drama|Romance|Slice of Life,MANGA,Bibury Animation Studios
109403,39808,Non Non Biyori Nonstop,2021,WINTER,12,83,83,40041,921,Comedy|Slice of Life,MANGA,SILVER LINK.
109745,39893,MUTEKING THE Dancing HERO,2021,FALL,12,56,57,3086,28,Action|Comedy|Music|Sci-Fi,ORIGINAL,Tezuka Productions
110277,40028,Attack on Titan Final Season,2021,WINTER,16,87,87,618506,29251,Action|Drama|Fantasy|Mystery,MANGA,MAPPA
110733,40174,ZOMBIE LAND SAGA REVENGE,2021,SPRING,12,79,79,70117,1700,Comedy|Music|Supernatural,ORIGINAL,MAPPA
112376,40526,Dragon Goes House-Hunting,2021,SPRING,12,59,59,20593,234,Comedy|Fantasy,MANGA,Signal.MD
112443,40530,Bottom-Tier Character Tomozaki,2021,WINTER,12,70,70,136701,2337,Comedy|Drama|Romance|Slice of Life,LIGHT_NOVEL,project No.9
112608,40586,I've Been Killing Slimes for 300 Years and Maxed Out My Level,2021,SPRING,12,68,68,134195,2358,Adventure|Comedy|Fantasy|Slice of Life,LIGHT_NOVEL,REVOROOT
112649,40594,Suppose a Kid from the Last Dungeon Boonies moved to a starter town?,2021,WINTER,12,62,62,91653,1316,Adventure|Comedy|Fantasy,LIGHT_NOVEL,LIDENFILMS
112716,40608,Muv-Luv Alternative,2021,FALL,12,55,55,15862,176,Action|Drama|Mecha|Romance|Sci-Fi,VISUAL_NOVEL,Graphinica
112802,40620,Life Lessons with Uramichi Oniisan,2021,SUMMER,13,76,76,84328,2268,Comedy|Slice of Life,MANGA,Studio Blanc
113231,40679,2.43: Seiin High School Boys Volleyball Team,2021,WINTER,12,60,60,45601,408,Drama|Slice of Life|Sports,OTHER,david production
113359,40729,MEGALOBOX 2: NOMAD,2021,SPRING,13,81,81,57200,1554,Action|Drama|Sci-Fi|Sports,ORIGINAL,TMS Entertainment
113418,40685,Super Cub,2021,SPRING,12,72,72,46917,1249,Slice of Life,LIGHT_NOVEL,Studio KAI
113425,40750,Redo of Healer,2021,WINTER,12,58,58,143442,3256,Action|Adventure|Ecchi|Fantasy,LIGHT_NOVEL,TNK
113428,40752,Pretty Boy Detective Club,2021,SPRING,12,69,69,48028,579,Comedy|Mystery|Sci-Fi,OTHER,Shaft
113476,41520,Show by Rock!! Stars!!,2021,WINTER,12,71,72,5314,95,Comedy|Music,VIDEO_GAME,Kinema Citrus
113585,40786,Skate-Leading Stars,2021,WINTER,12,62,63,15152,160,Drama|Sports,ORIGINAL,J.C.STAFF
113717,40834,Ranking of Kings,2021,FALL,23,83,83,215848,9781,Action|Adventure|Drama|Fantasy,MANGA,WIT STUDIO
113814,40842,Idoly Pride,2021,WINTER,12,71,71,24820,447,Drama|Music|Slice of Life|Supernatural,OTHER,Lerche
113936,40852,Dr. STONE: STONE WARS,2021,WINTER,11,81,81,323162,7856,Action|Adventure|Comedy|Sci-Fi,MANGA,TMS Entertainment
113950,40870,SSSS.DYNAZENON,2021,SPRING,12,74,75,50548,1240,Action|Mecha|Romance|Sci-Fi,ORIGINAL,TRIGGER
114065,40904,Remake Our Life!,2021,SUMMER,12,72,72,107991,1992,Drama|Romance|Slice of Life,LIGHT_NOVEL,feel.
114085,40908,Kemono Jihen,2021,WINTER,12,72,72,123170,2303,Action|Drama|Mystery|Supernatural,MANGA,Ajiado
114087,40907,World Trigger 2nd Season,2021,WINTER,12,80,80,44432,891,Action|Sci-Fi,MANGA,Toei Animation
114194,40935,BEASTARS Season 2,2021,WINTER,12,78,78,137348,2422,Drama|Mystery|Psychological|Romance|Slice of Life,MANGA,Orange
114232,40938,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",2021,SPRING,13,70,70,182217,4162,Drama|Romance|Slice of Life,LIGHT_NOVEL,project No.9
114301,40961,Hortensia SAGA,2021,WINTER,12,55,55,23592,375,Action|Adventure|Drama|Fantasy,VIDEO_GAME,LIDENFILMS
114302,40960,Drug Store in Another World - The Slow Life of a Cheat Pharmacist,2021,SUMMER,12,61,61,49595,603,Comedy|Fantasy|Slice of Life,LIGHT_NOVEL,EMT Squared
114304,40957,True Cooking Master Boy Season 2,2021,WINTER,12,62,65,1874,11,Comedy,MANGA,NAS
114307,40964,BACK ARROW,2021,WINTER,24,58,58,15941,168,Action|Adventure|Fantasy|Mecha|Sci-Fi,ORIGINAL,Studio VOLN
114535,41025,To Your Eternity,2021,SPRING,20,81,81,306212,10245,Adventure|Drama|Fantasy|Psychological|Supernatural,MANGA,Brain's Base
114862,41109,Log Horizon: Destruction of the Round Table,2021,WINTER,12,69,69,69488,828,Action|Adventure|Comedy|Fantasy,LIGHT_NOVEL,Studio DEEN
114979,41169,Love Live! Superstar!!,2021,SUMMER,12,78,78,29369,972,Music|Slice of Life,OTHER,Sunrise
115183,41265,MARS RED,2021,SPRING,13,63,63,44296,418,Action|Drama|Sci-Fi|Supernatural,OTHER,Signal.MD
116287,41392,Otherside Picnic,2021,WINTER,12,64,64,47258,715,Adventure|Fantasy|Horror|Mystery|Sci-Fi|Supernatural,OTHER,LIDENFILMS
116338,41402,Welcome to Demon School! Iruma-kun Season 2,2021,SPRING,21,80,80,100930,2729,Comedy|Fantasy|Supernatural,MANGA,Bandai Namco Pictures
116588,41456,Combatants Will Be Dispatched!,2021,SPRING,12,68,68,118749,1926,Action|Adventure|Comedy|Ecchi|Fantasy|Sci-Fi,LIGHT_NOVEL,J.C.STAFF
116589,41457,86 EIGHTY-SIX,2021,SPRING,11,83,83,305212,17930,Action|Drama|Mecha|Sci-Fi,LIGHT_NOVEL,A-1 Pictures
116741,41488,The Slime Diaries,2021,SPRING,12,74,74,96657,1625,Adventure|Comedy|Fantasy|Slice of Life,MANGA,8-bit
116742,41487,That Time I Got Reincarnated as a Slime Season 2 Part 2,2021,SUMMER,12,82,82,255627,7947,Action|Adventure|Comedy|Fantasy,LIGHT_NOVEL,8-bit
116752,41491,The Seven Deadly Sins: Dragon's Judgement,2021,WINTER,24,65,65,134705,2014,Action|Adventure|Comedy|Ecchi|Fantasy|Supernatural,MANGA,Studio DEEN
116944,41521,WIXOSS DIVA(A)LIVE,2021,WINTER,12,51,51,4526,42,Music|Sci-Fi,OTHER,J.C.STAFF
117002,41530,Magia Record: Puella Magi Madoka Magica Side Story Season 2 -The Eve of Awakening-,2021,SUMMER,8,70,70,23719,273,Drama|Mahou Shoujo|Mystery|Psychological|Thriller,VIDEO_GAME,Shaft
117067,41556,Kiyo in Kyoto: From the Maiko House,2021,WINTER,12,67,68,7638,105,Slice of Life,MANGA,J.C.STAFF
117085,41573,Sorcerous Stabber Orphen: Battle of Kimluck,2021,WINTER,11,61,61,8248,77,Action|Adventure|Fantasy,LIGHT_NOVEL,Studio DEEN
117193,41587,My Hero Academia Season 5,2021,SPRING,25,73,73,399455,7717,Action|Adventure|Comedy|Sci-Fi,MANGA,bones
117448,41623,How NOT to Summon a Demon Lord Ω,2021,SPRING,10,66,66,124253,2002,Comedy|Ecchi|Fantasy,LIGHT_NOVEL,Tezuka Productions
